"","authors","title","Published.Year","journal","DOI","abstract"
"1","Norgrove, L.; Csuzdi, C.; Forzi, F.; Canet, M.; Gounes, J.","Shifts in soil faunal community structure in shaded cacao agroforests and consequences for ecosystem function in Central Africa",2009,"Tropical Ecology","","We assessed the effects of fungicide application on soil fauna in shaded Theobroma cacao agro-forests in Cameroon and compared this with forest. Fewer termite species were found in cacao (19) than in forest (29). Species absent in cacao included specialist soil-feeders (Apilitermes, Crenetermes, Cubitermes) and specialist wood-feeders (Microcerotermes, Nasutitermes). Conversely, more generalist soil-wood-interface-feeders (Termes, Amalotermes) were more frequent in cacao. Mean earthworm densities were 80 m(-2) in the forest and 81 m(-2) in the unsprayed cacao, significantly higher than in either low or high sprayed cacao treatments (52 m(-2) and 57 m(-2) respectively). The dominant forest epigeic, Eminoscolex lamani was absent in cacao. Rosadrilus camerunensis, the sole anecic and dominant cast producer had reduced population in cacao and was absent in the high fungicide treatment. The role of this species in ecosystem functioning is highlighted and methods to maintain population, including improving litter quality and reducing soil contamination discussed."
"2","Bai, X.; Zhao, S. L.; Duo, L.","Impacts of carbon nanomaterials on the diversity of microarthropods in turfgrass soil",2017,"Scientific Reports","10.1038/s41598-017-01920-z","Nanoscale materials have been produced with unprecedented speed due to their widespread use, and they may eventually be released into the environment. As effective adsorbents for heavy metals, carbon nanomaterials can be used to immobilize metals in contaminated soil, but little information is available regarding their effects on soil microarthropods. This study was designed to investigate the influence of three types of carbon nanomaterials, graphene (G), graphene oxide (GO) and carbon nanotubes (CNTs) on soil microarthropod communities under turfgrass growth conditions. The application of carbon nanomaterials resulted in increased abundance of all soil microarthropods, especially in the GO and CNT treatments. GO also significantly increased the abundances of multiple trophic functional groups, including predators, detritivores, herbivores and fungivores. Further, the dominant genera varied among the treatments. Herbivorous microarthropods predominated in the control, whereas predatory species predominated in the carbon nanomaterial treatments. Carbon nanomaterials also increased the total taxonomic richness, Shannon diversity index, and dominance index of the microarthropod community, but they decreased the evenness index. Higher diversity of soil microarthropods indicates an environment suitable for soil mesofauna and for enhanced decomposition and nutrient cycling in the soil food web."
"3","Moser, T.; Van Gestel, C. A. M.; Jones, S. E.; Koolhaas, J. E.; Rodrigues, J. M. L.; Rombke, J.","Ring-testing and field-validation of a Terrestrial Model Ecosystem (TME) - An instrument for testing potentially harmful substances: Effects of carbendazim on enchytraeids",2004,"Ecotoxicology","10.1023/B:ECTX.0000012407.42358.3e","The effects of the fungicide carbendazim ( applied in the formulation Derosal(R)) on enchytraeids were determined in Terrestrial Model Ecosystem (TME) tests and field-validation studies. TMEs consisted of intact soil columns ( diameter 17.5 cm; length 40 cm) taken from a grassland or, in one case, from an arable site. The TMEs were taken from the same site where the respective field study was performed. The tests were performed in Amsterdam ( The Netherlands), Bangor ( Wales, England), Coimbra ( Portugal) and Florsheim ( Germany). Concerning the enchytraeid overall abundance and the number of species, differences between sampling points and differences between the TME tests and the respective field-validation studies were not found in the controls. Generally, a high variability of data which reduced the probability of determining statistically significant differences was determined. Effects of the model chemical carbendazim were determined for the overall abundance of enchytraeids and the number of enchytraeid species. The clearest dose - response relationship was found for the abundance of the genus Fridericia. The abundance of the genera Achaeta and Enchytraeus was not affected. Effects were most pronounced 8 and 16 weeks after application of the test chemical. The observed effects appeared not to differ between the TME tests and the respective field-validation studies. Due to the high variability of data NOEC-values could often not be determined. The EC50-values derived from the TME pre-test, TME ring-test and field-validation study indicate that the reproducibility (i.e. the variation between the partners) of the EC50-values was reasonable, although different soils were used at the different sites. The EC50- values for effects of carbendazim on enchytraeid abundance ranged between 0.5 and 28.4 kg a. i./ha (corresponding to 0.7 - 37.8 mg/kg), on the number of species between 7.2 and 87.4 kg a. i./ ha (9.5 - 116.2 mg/kg) and on the abundance of Fridericia between 0.7 and 18.6 kg a. i./ ha (0.9 - 24.7 mg/kg). Since one specific taxon has the potential to be more sensitive for a chemical stressor than other taxa, it is recommended to include investigations on the species level in the assessment of TME or field studies."
"4","Moller, A. P.; Mousseau, T. A.","Reduced colonization by soil invertebrates to irradiated decomposing wood in Chernobyl",2018,"Science of the Total Environment","10.1016/j.scitotenv.2018.07.195","Soil is inhabited by a range of microbes, invertebrates and vertebrates that disintegrate and decompose dead wood and leaf litter. These communities can be perturbed by ionizing radiation from natural radiation sources or from radiation originating from nuclear accidents such as those at Chernobyl, Fukushima and Three Mile Island. We used experimental manipulations of wood quality due to differences in exposure to ionizing radiation among tree trunks and ambient radiation levels of the soil to test the hypothesis that radioactively contaminated wood would result in a negative correlation between the abundance of soil invertebrates colonizing slices of wood and level of radioactive contamination. We extracted soil invertebrates underneath decomposing wood using mustard powder diluted in water. The abundance of soil invertebrates extracted was highly repeatable at study sites and decreased with increasing ambient radiation and total dose measured with thermoluminescent dosimeters (TLDs). Four 10 cm thick slices of ca. 70-year old Scots pines (Pinus sylvestris) were deposited at 20 sites and the invertebrate taxa and their colonization and their abundance was assessed annually during 2014-2017. There were more soil invertebrates under uncontaminated than contaminated slices of wood. In addition, there were more soil invertebrates in areas with less ambient radioactivity, and there was an interaction effect between contamination of wood and ambient radiation implying that the role of contamination differed among slices. Finally, there was an increase in the abundance of soil invertebrates under wood slices during 2013-2017 implying that the abundance of soil invertebrates increased over time. These findings imply that the abundance of soil animals colonizing wood slices was dependent on background radiation, radioactive contamination of wood and the interaction between contamination of wood and ambient radiation. (C) 2018 Elsevier B.V. All rights reserved."
"5","Naveed, M.; Moldrup, P.; Arthur, E.; Holmstrup, M.; Nicolaisen, M.; Tuller, M.; Herath, L.; Hamamoto, S.; Kawamoto, K.; Komatsu, T.; Vogel, H. J.; de Jonge, L. W.","Simultaneous Loss of Soil Biodiversity and Functions along a Copper Contamination Gradient: When Soil Goes to Sleep",2014,"Soil Science Society of America Journal","10.2136/sssaj2014.02.0052","The impact of biodiversity loss on soil functions is well established via laboratory experiments that generally consider soil biota groups in isolation from each other, a condition rarely present in field soils. As a result, our knowledge about anthropogenic-induced changes in biodiversity and associated soil functions is limited. We quantified an array of soil biological constituents (plants, earthworms, nematodes, bacteria, and fungi) to explore their interactions and to characterize their influence on various soil functions (habitat for soil organisms, air and water regulation, and recycling of nutrients and organic waste) along a legacy Cu pollution gradient. Increasing Cu concentrations had a detrimental impact on both plant growth and species richness. Belowground soil biota showed similar responses, with their sensitivity to elevated Cu concentrations decreasing in the order: earthworms > bacteria > nematodes > fungi. The observed loss of soil biota adversely affected natural soil bioturbation, aggregate formation and stabilization, and decomposition and mineralization processes and therefore resulted in compacted soil with narrow pore size distributions and overall smaller pores, restricted air and water storage and flow, and impeded C, N, and P cycling. The simultaneous evolution of soil biodiversity and functions along the Cu gradient emphasized the key role of soil life in controlling ecosystem services. Furthermore, results indicated that different soil biodiversity and functional indicators started to decline (10% loss) within a Cu concentration range of 110 to 800 mg total Cu kg(-1)."
"6","Navas, A.; Flores-Romero, P.; Sanchez-Moreno, S.; Camargo, J. A.; McGawley, E. C.","EFFECTS OF HEAVY METAL SOIL POLLUTION ON NEMATODE COMMUNITIES AFTER THE AZNALCOLLAR MINING SPILL",2010,"Nematropica","","In 1998, the rupture of a mining reservoir containing mineral residues polluted a large section of Guadiamar River Basin in southern Spain with heavy metals. To determine the effect of the spill on soil nematodes, soil samples were collected in 24 locations in a non-polluted area (48 samples) and in 57 locations (89 samples) in the polluted area. Soil content of lead (Pb), cadmium (Cd), nickel (Ni), copper (Cu), titanium (Ti), vanadium (V), and zinc (Zn) was analyzed. Maturity Indices (MI, MINO, PPI, Sigma MI) and Diversity Indices (Trophic Diversity (T), Shannon-Weaver (H'), Simpson (D), Margalef and Camargo) were calculated to assess the effects of soil pollution on nematode communities in the polluted area. Differences in heavy metal content were observed between the non-polluted and polluted sites. Forty-five nematode genera were identified, with decreasing numbers in the polluted area five months after the spill. Nematode taxa abundance and frequency, as well as diversity and maturity indices, were all negatively affected by the toxic sediments. Factorial Analysis of Correspondence, used to infer nematode sensitivity to metal soil pollution, showed six different associations of nematode genera associated to different metal content ranges. The effect of soil covering by the toxic mud on total number of nematodes was demonstrated experimentally. The diversity and maturity of the nematode community was significantly lower in the polluted than in the non-polluted area five months after the spillage. Ni and Cu seemed to be the metals most toxic to the nematode community."
"7","Nahmani, J.; Rossi, J. P.","Soil macroinvertebrates as indicators of pollution by heavy metals",2003,"Comptes Rendus Biologies","10.1016/s1631-0691(03)00070-2","A broad range of soil pollutants were found to decrease with distance from a zinc smelter from 35 000 to 77, 8270 to 40 and from 190 to less than 1 ppm for zinc, lead and cadmium, respectively. Along this gradient, observed species richness of soil macro-organisms seemed to be more affected by the land-use type than by soil pollution - minimum in crops (21), maximum in woody Sites (126). IndVal index allowed isolation of 21 indicator species from the 339 morphospecies identified. Most of these indicator species were characteristic of the unpolluted sites: only two diplopods and one gastropod from polluted poplar plantations, and none from the most polluted site. Since soil invertebrates respond to different environmental factors, including direct effect of heavy metals we suggest there may be some confounding factors generating spurious relationships between the values of species as bioindicators and the pollution status they are supposed to indicate. To cite this article: J. Nahmani, J.-P. Rossi, C R. Biologies 326 (2003). (C) 2003 Academie des sciences/Editions scientifiques et medicales Elsevier SAS. All rights reserved."
"8","Nahmani, J.; Lavelle, P.; Lapied, E.; van Oort, F.","Effects of heavy metal soil pollution on earthworm communities in the north of France",2003,"Pedobiologia","10.1078/0031-4056-00243","In the alluvial plain of Scarpe-Escault, in northern France, past emissions from a Zn smelter resulted in a notable Zn, Cd, and Pb-contamination of soils. The aim of this study was to assess the response of earthworm communities to a gradient of metal pollution. In 11 sites located within 4 kilometers of the smelter, according to the dominant wind direction, characteristic soil parameters and total metal contents were determined and 9 earthworm species were collected. The Kmeans clustering method, applied to the first two axes extracted by Principle coordinate analysis on species abundances, allowed to separate the 11 sites into 6 groups depending on their pollution status and the type of vegetation cover (cultivated soils, grasslands, poplar plantations). Significant differences were found between the 6 groups for the total density of earthworms, which varied from 392 ind.m(-2) in unpolluted grassland to 2 ind.m(-2) in the metallophyte grassland, where soil pollution was higher than in the other sites. Intermediate densities were found in unpolluted poplar plantations with 271 ind.m(-2) (but only 57 ind.m(-2) in polluted stands), and 52 ind.m(-2) in unpolluted cultivated soils. Metal pollution also reduced species richness (from 6 to 1 species). Aporrectodea caliginosa and Allolobophora chlorotica appeared to be the most sensitive to heavy metals. A. caliginosa was dominant in unpolluted grassland (about 45 ind.m(-2)), absent in the most polluted site (35000, 8271 and 190 mg kg(-1) for Zn, Pb, and Cd, respectively), and present in polluted poplar plantation (1112, 616 and 12 mg kg(-1) for Zn, Pb, and Cd, respectively) although at a very low density (less than 1 ind.m(-2))."
"9","Nahmani, J.; Lavelle, P.","Effects of heavy metal pollution on soil macrofauna in a grassland of Northern France",2002,"European Journal of Soil Biology","10.1016/s1164-5563(02)01169-x","In the north of France, a century of industrial metallurgic activities produced significant heavy metal soil pollution. In the north of France zinc smelter waste created a gradient of zinc concentration from 171 to 19 000 ppmin 35 m. The aim of this study was to evaluate the effects of soil pollution on the composition, density and diversity of macrofauna communities. The results showed that heavy metals reduce the overall density of earthworms and other macrofauna populations. The composition of the macrofauna community changed with the degree of pollution. There was no simple relationship between soil zinc content and species richness. In polluted areas, the number of species could be lower, equal or higher than in unpolluted zones. Increase of species richness in some polluted zones was due to the settlement of tolerant arthropod taxa. Coleoptera and some Arachnida were possibly favoured by the litter accumulation resulting from the reduced population densities of earthworms and other decomposers. (C) 2002 Editions scientifiques et medicales Elsevier SAS. All rights reserved."
"10","Nagy, P.; Bakonyi, G.; Bongers, T.; Kadar, I.; Fabian, M.; Kiss, I.","Effects of microelements on soil nematode assemblages seven years after contaminating an agricultural field",2004,"Science of the Total Environment","10.1016/j.scitotenv.2003.08.006","Long-term effects of Cd, Cr, Cu, Se and Zn were studied 7 years after artificially contaminating plots of an agricultural field on a calcareous chernozem soil. Effects of three to four different contamination levels (originally 10, 30, 90 and 270 mg kg(-1)) were studied. Nematode density was significantly reduced by 90 and 270 mg kg(-1) Se as well as by 270 mg g(-1) Cr, while 90 and 270 mg kg(-1) Se also reduced nematode generic richness. Maturity Index values (calculated for c-p 2-5 nematodes) consistently decreased with increasing Cr and Se concentration and to a lesser extent in Zn plots as well. Structure Index showed decreasing trends in increasing Cr, Se and (to a lesser extent) in Zn treatments, while in Cd it shows a moderate increase. Distribution of c-p groups was negatively affected by the increasing Cr and Se concentration, while in Zn plots, this decrease was not significant. Response of feeding groups to pollutions was similar to other parameters: Cr and Se caused significant changes toward the loss of variability. The proportion of the most sensitive omnivorous and predatory nematodes decreased clearly as a consequence of Cr and Se treatments. Zn pollution also resulted in a slight decrease in this group, while Cd caused an increase. Nematode diversity profiles showed a significant decrease in the plots of increased Cr and Se concentrations, while increased concentrations of Cu and Zn resulted in ambiguous effects. Besides providing evidence on the harmful effects of Cr and Se on a soil nematode assemblage, our results suggest that simultaneous analysis of Maturity Index, Structure Index and diversity profiles provide a promising tool in nemtological indication of soil pollution. (C) 2003 Elsevier B.V. All rights reserved."
