"","authors","Published.Year","journal","title","DOI","Country","DiversityMetric","PollutantName","PollutantType","PollutionSource","TaxaGroupAtlas","System","OtherBiodiversity","EcosystemFunction","Multidrivers"
"5","Naveed, M.; Moldrup, P.; Arthur, E.; Holmstrup, M.; Nicolaisen, M.; Tuller, M.; Herath, L.; Hamamoto, S.; Kawamoto, K.; Komatsu, T.; Vogel, H. J.; de Jonge, L. W.",2014,"Soil Science Society of America Journal","Simultaneous Loss of Soil Biodiversity and Functions along a Copper Contamination Gradient: When Soil Goes to Sleep","10.2136/sssaj2014.02.0052","Denmark","abundance","Cu","Metals","Industrial","Nematodes,Earthworms","Grassland","plants,microbes","several","no"
"14","Miyazawa, K.; Tsuji, H.; Yamagata, M.; Nakano, H.; Nakamoto, T.",2002,"Plant Production Science","The effects of cropping systems and fallow managements on microarthropod populations","10.1626/pps.5.257","Japan","abundance","alachlor, linuron, lenacil, PAC, disulfoton, MEP, PAP, acephate, DEP, profenofos, prothiofos, cyfluthrin, TPN, mancozeb, mepronil, thiophanate-methyl","Pesticides","Agricultural/livestock","Acari,Collembola","Cropland","plants","several","yes"
"18","Andersen, L.; Kuhn, B. F.; Bertelsen, M.; Bruus, M.; Larsen, S. E.; Strandberg, M.",2013,"Agriculture Ecosystems & Environment","Alternatives to herbicides in an apple orchard, effects on yield, earthworms and plant diversity","10.1016/j.agee.2013.04.004","Denmark","abundance","herbicides: propyzamid, glyphosate","Pesticides","Agricultural/livestock","Earthworms","Woodland","plants","one","yes"
"32","Shukurov, N.; Pen-Mouratov, S.; Steinberger, Y.",2006,"Environment International","The influence of soil pollution on soil microbial biomass and nematode community structure in Navoiy Industrial Park, Uzbekistan","10.1016/j.envint.2004.12.003","Uzbekistan","several","metals and N deposition","Metals","Industrial,Mining/Smelting","Nematodes","","microbes","several","yes"
"33","Shukurov, N.; Pen-Mouratov, S.; Steinberger, Y.",2005,"Environmental Pollution","The impact of the Almalyk Industrial Complex on soil chemical and biological properties","10.1016/j.envpol.2004.12.007","Uzbekistan","abundance","Cu, Zn, Pb","Metals","Industrial,Mining/Smelting","Nematodes","","microbes","several","no"
"34","Shukurov, N.; Kodirov, O.; Peitzsch, M.; Kersten, M.; Pen-Mouratov, S.; Steinberger, Y.",2014,"Science of the Total Environment","Coupling geochemical, mineralogical and microbiological approaches to assess the health of contaminated soil around the Almalyk mining and smelter complex, Uzbekistan","10.1016/j.scitotenv.2014.01.031","Uzbekistan","abundance","Cd, Cu, Pb, Zn","Metals","Industrial,Mining/Smelting","Nematodes","","microbes","several","no"
"51","Scholz-Starke, B.; Nikolakis, A.; Leicher, T.; Lechelt-Kunze, C.; Heimbach, F.; Theissen, B.; Toschki, A.; Ratte, H. T.; Schaffer, A.; Ross-Nickoll, M.",2011,"Ecotoxicology","Outdoor Terrestrial Model Ecosystems are suitable to detect pesticide effects on soil fauna: design and method development","10.1007/s10646-011-0732-z","Germany","abundance,richness,shannons,evenness","insecticide: lindane","Pesticides","Agricultural/livestock","Acari,Collembola,Earthworms","Grassland","plants","one","no"
"61","Russell, D. J.; Alberti, G.",1998,"Applied Soil Ecology","Effects of long-term, geogenic heavy metal contamination on soil organic matter and microarthropod communities, in particular Collembola","10.1016/s0929-1393(98)00109-7","Germany","abundance","Zn,Pb,Cd","Metals","Natural/geogenic","Acari,Collembola,Protura","Woodland","no","one","no"
"72","Vincent, Q.; Auclerc, A.; Beguiristain, T.; Leyval, C.",2018,"Science of the Total Environment","Assessment of derelict soil quality: Abiotic, biotic and functional approaches","10.1016/j.scitotenv.2017.09.118","France","abundance,richness,shannons,others","PAH, Cd, Zn, Pb","Metals,PAH (Polycyclic aromatic hydrocarbons)","Industrial","Collembola,Pseudoscorpions,Isopoda,Myriapoda,Earthworms,Coleoptera,Arachnida (spiders and scorpions),Larvae,Others","Artifical land (e.g. yards, cemeteries, parkings, open dump sites)","plants,microbes","several","no"
"77","van Gestel, C. A. M.; Koolhaas, J. E.; Hamers, T.; van Hoppe, M.; van Roovert, M.; Korsman, C.; Reineckec, S. A.",2009,"Environmental Pollution","Effects of metal pollution on earthworm communities in a contaminated floodplain area: Linking biomarker, community and functional responses","10.1016/j.envpol.2008.11.002","The Netherlands","abundance,biomass","Zn,Cu,Cd,PCB,PAH","Metals,PAH (Polycyclic aromatic hydrocarbons)","Others","Earthworms","Wetlands","no","one","no"
"80","Creamer, R. E.; Rimmer, D. L.; Black, H. I. J.",2008,"Soil Use and Management","Do elevated soil concentrations of metals affect the diversity and activity of soil invertebrates in the long-term?","10.1111/j.1475-2743.2007.00131.x","UK","abundance,richness,shannons,evenness","Cu,Ni,Zn","Metals","Waste/sewage","Nematodes,Enchytraeids,Acari,Collembola,Protura,Diplura,Isopoda,Myriapoda,Earthworms,Coleoptera,Arachnida (spiders and scorpions),Larvae","Cropland","no","one","yes"
"87","Cotrufo, M. F.; Soong, J.; Vandegehuchte, M. L.; Nguyen, T.; Denef, K.; Shaw, E. A.; Sylvain, Z. A.; de Tomasel, C. M.; Nielsen, U. N.; Wall, D. H.",2014,"Applied Soil Ecology","Naphthalene addition to soil. surfaces: A feasible method to reduce soil micro-arthropods with negligible direct effects on soil C dynamics","10.1016/j.apsoil.2013.09.008","USA","abundance","naphtalene","PAH (Polycyclic aromatic hydrocarbons)","Others","Nematodes,Acari,Collembola","Grassland","microbes","one","no"
"100","Zaller, J. G.; Cantelmo, C.; Dos Santos, G.; Muther, S.; Gruber, E.; Pallua, P.; Mandl, K.; Friedrich, B.; Hofstetter, I.; Schmuckenschlager, B.; Faber, F.",2018,"Environmental Science and Pollution Research","Herbicides in vineyards reduce grapevine root mycorrhization and alter soil microorganisms and the nutrient composition in grapevine roots, leaves, xylem sap and grape juice","10.1007/s11356-018-2422-3","Austria","abundance","herbicides: glyphosate,flazasulfuron,glufosinate","Pesticides","Agricultural/livestock","Earthworms","Cropland","plants,microbes","one","no"
"104","Yeates, G. W.; Orchard, V. A.; Speir, T. W.; Hunt, J. L.; Hermans, M. C. C.",1994,"Biology and Fertility of Soils","IMPACT OF PASTURE CONTAMINATION BY COPPER, CHROMIUM, ARSENIC TIMBER PRESERVATIVE ON SOIL BIOLOGICAL-ACTIVITY","10.1007/bf00647667","New Zealand","abundance,shannons","Cu,Cr,As","Metals","Industrial","Enchytraeids,Earthworms","Grassland","plants,microbes","several","no"
"118","Rantalainen, M. L.; Torkkeli, M.; Strommer, R.; Setala, H.",2006,"Science of the Total Environment","Lead contamination of an old shooting range affecting the local ecosystem - A case study with a holistic approach","10.1016/j.scitotenv.2006.05.005","Finland","abundance,biomass","Pb","Metals","Military/wars","Nematodes,Enchytraeids,Acari,Collembola","Woodland","plants,microbes","one","no"
"121","Pritekel, C.; Whittemore-Olson, A.; Snow, N.; Moore, J. C.",2006,"Applied Soil Ecology","Impacts from invasive plant species and their control on the plant community and belowground ecosystem at Rocky Mountain National Park, USA","10.1016/j.apsoil.2005.01.010","USA","abundance","herbicides","Pesticides","Others","Acari,Collembola","Grassland","plants,microbes","one","yes"
"123","Pedersen, M. B.; Axelsen, J. A.; Strandberg, B.; Jensen, J.; Attrill, M. J.",1999,"Ecotoxicology","The impact of a copper gradient on a microarthropod field community","10.1023/a:1008964021344","Denmark","abundance,shannons","Cu","Metals","Agricultural/livestock","Acari,Collembola","Woodland","plants","one","no"
"127","Chen, D. M.; Lan, Z. C.; Bai, X.; Grace, J. B.; Bai, Y. F.",2013,"Journal of Ecology","Evidence that acidification-induced declines in plant diversity and productivity are mediated by changes in below-ground communities and soil properties in a semi-arid steppe","10.1111/1365-2745.12119","China","abundance","Al, SO2, NOx","Metals","Industrial,Urban/transport,Agricultural/livestock,Others","Nematodes","Grassland","plants,microbes","several","yes"
"138","Cebron, A.; Cortet, J.; Criquet, S.; Biaz, A.; Calvert, V.; Caupert, C.; Pernin, C.; Leyval, C.",2011,"Research in Microbiology","Biological functioning of PAH-polluted and thermal desorption-treated soils assessed by fauna and microbial bioindicators","10.1016/j.resmic.2011.02.011","France","abundance,richness","Cu, Pb, Zn, PAH","Metals,PAH (Polycyclic aromatic hydrocarbons)","Industrial","Protists,Nematodes,Acari,Collembola","Artifical land (e.g. yards, cemeteries, parkings, open dump sites)","microbes","several","no"
"156","Pen-Mouratov, S.; Shukurov, N.; Yu, J.; Rakhmonkulova, S.; Kodirov, O.; Barness, G.; Kersten, M.; Steinberger, Y.",2014,"Ecotoxicology","Successive development of soil ecosystems at abandoned coal-ash landfills","10.1007/s10646-014-1227-5","Uzbekistan","abundance","As, Cd, Co,Cr, Cu, Mo, Ni, Pb, Rb, Sc, and Zn","Metals","Mining/Smelting,Waste/sewage","Nematodes","Artifical land (e.g. yards, cemeteries, parkings, open dump sites)","microbes","one","no"
"169","Carrascosa, M.; Sanchez-Moreno, S.; Alonso-Prados, J. L.",2015,"Nematology","Effects of organic and conventional pesticides on plant biomass, nematode diversity and the structure of the soil food web","10.1163/15685411-00002849","Spain","richness,shannons","Nematicides","Pesticides","Agricultural/livestock","Nematodes","Others","no","one","yes"
"170","Carrascosa, M.; Sanchez-Moreno, S.; Alonso-Prados, J. L.",2014,"European Journal of Soil Biology","Relationships between nematode diversity, plant biomass, nutrient cycling and soil suppressiveness in fumigated soils","10.1016/j.ejsobi.2014.02.009","Spain","richness, shannon, abundance","1,3-dichloropropene and chloropicrin","Pesticides","Agricultural/livestock","Tardigrades,Nematodes","Cropland,Woodland","no","several","yes"
