,authors,Published.Year,journal,title,DOI,Country,DiversityMetric,PollutantName,PollutantType,PollutionSource,TaxaGroupAtlas,System,OtherBiodiversity,EcosystemFunction,Multidrivers
4,"Moller, A. P.; Mousseau, T. A.",2018,Science of the Total Environment,Reduced colonization by soil invertebrates to irradiated decomposing wood in Chernobyl,10.1016/j.scitotenv.2018.07.195,Ukraine,abundance,radiation,Radionuclides/Radiation,Others,"Nematodes,Acari,Collembola,Ants,Myriapoda,Earthworms,Coleoptera,Gastropoda (slugs and snails)",Woodland,microbes,none,no
5,"Naveed, M.; Moldrup, P.; Arthur, E.; Holmstrup, M.; Nicolaisen, M.; Tuller, M.; Herath, L.; Hamamoto, S.; Kawamoto, K.; Komatsu, T.; Vogel, H. J.; de Jonge, L. W.",2014,Soil Science Society of America Journal,Simultaneous Loss of Soil Biodiversity and Functions along a Copper Contamination Gradient: When Soil Goes to Sleep,10.2136/sssaj2014.02.0052,Denmark,abundance,Cu,Metals,Industrial,"Nematodes,Earthworms",Grassland,"plants,microbes",several,no
14,"Miyazawa, K.; Tsuji, H.; Yamagata, M.; Nakano, H.; Nakamoto, T.",2002,Plant Production Science,The effects of cropping systems and fallow managements on microarthropod populations,10.1626/pps.5.257,Japan,abundance,"alachlor, linuron, lenacil, PAC, disulfoton, MEP, PAP, acephate, DEP, profenofos, prothiofos, cyfluthrin, TPN, mancozeb, mepronil, thiophanate-methyl",Pesticides,Agricultural/livestock,"Acari,Collembola",Cropland,plants,several,yes
18,"Andersen, L.; Kuhn, B. F.; Bertelsen, M.; Bruus, M.; Larsen, S. E.; Strandberg, M.",2013,Agriculture Ecosystems & Environment,"Alternatives to herbicides in an apple orchard, effects on yield, earthworms and plant diversity",10.1016/j.agee.2013.04.004,Denmark,abundance,"herbicides: propyzamid, glyphosate",Pesticides,Agricultural/livestock,Earthworms,Woodland,plants,one,yes
19,"Neher, D. A.; Olson, R. K.",1999,Pedobiologia,Nematode communities in soils of four farm cropping management systems,,USA,abundance,"herbicides, insecticides",Pesticides,Agricultural/livestock,Nematodes,Cropland,microbes,none,yes
26,"Marko-Worlowska, M.; Chrzan, A.; Laciak, T.",2011,Journal of Environmental Science and Health Part a-Toxic/Hazardous Substances & Environmental Engineering,"Scots pine bark, topsoil and pedofauna as indicators of transport pollutions in terrestrial ecosystems",10.1080/10934529.2010.500896,Poland,"abundance,richness",Cd;Zn;Pb;Cu,Metals,Urban/transport,"Enchytraeids,Acari,Collembola,Ants,Isopoda,Earthworms,Coleoptera,Arachnida (spiders and scorpions),Gastropoda (slugs and snails),Larvae,Others",Grassland,plants,none,no
32,"Shukurov, N.; Pen-Mouratov, S.; Steinberger, Y.",2006,Environment International,"The influence of soil pollution on soil microbial biomass and nematode community structure in Navoiy Industrial Park, Uzbekistan",10.1016/j.envint.2004.12.003,Uzbekistan,several,metals and N deposition,Metals,"Industrial,Mining/Smelting",Nematodes,,microbes,several,yes
33,"Shukurov, N.; Pen-Mouratov, S.; Steinberger, Y.",2005,Environmental Pollution,The impact of the Almalyk Industrial Complex on soil chemical and biological properties,10.1016/j.envpol.2004.12.007,Uzbekistan,abundance,"Cu, Zn, Pb",Metals,"Industrial,Mining/Smelting",Nematodes,,microbes,several,no
34,"Shukurov, N.; Kodirov, O.; Peitzsch, M.; Kersten, M.; Pen-Mouratov, S.; Steinberger, Y.",2014,Science of the Total Environment,"Coupling geochemical, mineralogical and microbiological approaches to assess the health of contaminated soil around the Almalyk mining and smelter complex, Uzbekistan",10.1016/j.scitotenv.2014.01.031,Uzbekistan,abundance,"Cd, Cu, Pb, Zn",Metals,"Industrial,Mining/Smelting",Nematodes,,microbes,several,no
38,"Skubaa, P.; Rola, K.; Osyczka, P.; Kafel, A.",2014,Archives of Environmental Contamination and Toxicology,Oribatid Mite Communities on Lichens in Heavily Contaminated Post-Smelting Dumps,10.1007/s00244-014-0066-y,Poland,"abundance,richness","Cd, Pb, Zn",Metals,Mining/Smelting,Acari,"Artifical land (e.g. yards, cemeteries, parkings, open dump sites)",plants,none,no
39,"Skubaa, P.; Rola, K.; Osyczka, P.",2016,Environmental Science and Pollution Research,Oribatid communities and heavy metal bioaccumulation in selected species associated with lichens in a heavily contaminated habitat,10.1007/s11356-016-6100-z,Poland,"abundance,richness","Cd, Pb, Zn",Metals,Mining/Smelting,Acari,"Artifical land (e.g. yards, cemeteries, parkings, open dump sites)",plants,none,no
42,"Schmidt, I. K.; Ruess, L.; Baath, E.; Michelsen, A.; Ekelund, F.; Jonasson, S.",2000,Soil Biology & Biochemistry,"Long-term manipulation of the microbes and microfauna of two subarctic heaths by addition of fungicide, bactericide, carbon and fertilizer",10.1016/s0038-0717(99)00207-2,Sweden,abundance,"fungicide, bactericide",Pharmaceuticals,Others,"Protists,Nematodes",Woodland,microbes,none,yes
44,"Shao, Y. H.; Zhang, W. X.; Shen, J. C.; Zhou, L. X.; Xia, H. P.; Shu, W. S.; Ferris, H.; Fu, S. L.",2008,Soil Biology & Biochemistry,Nematodes as indicators of soil recovery in tailings of a lead/zinc mine,10.1016/j.soilbio.2008.04.014,China,abundance,Pb;Zn,Metals,Mining/Smelting,Nematodes,"Artifical land (e.g. yards, cemeteries, parkings, open dump sites)",microbes,none,no
45,"Shao, Y. H.; Zhang, W. X.; Liu, Z. F.; Sun, Y. X.; Chen, D. M.; Wu, J. P.; Zhou, L. X.; Xia, H. P.; Neher, D. A.; Fu, S. L.",2012,Ecotoxicology,Responses of soil microbial and nematode communities to aluminum toxicity in vegetated oil-shale-waste lands,10.1007/s10646-012-0966-4,China,abundance,Al,Metals,Industrial,Nematodes,"Artifical land (e.g. yards, cemeteries, parkings, open dump sites)",microbes,none,no
51,"Scholz-Starke, B.; Nikolakis, A.; Leicher, T.; Lechelt-Kunze, C.; Heimbach, F.; Theissen, B.; Toschki, A.; Ratte, H. T.; Schaffer, A.; Ross-Nickoll, M.",2011,Ecotoxicology,Outdoor Terrestrial Model Ecosystems are suitable to detect pesticide effects on soil fauna: design and method development,10.1007/s10646-011-0732-z,Germany,"abundance,richness,shannons,evenness",insecticide: lindane,Pesticides,Agricultural/livestock,"Acari,Collembola,Earthworms",Grassland,plants,one,no
53,"Salminen, J.; Haimi, J.",1998,Applied Soil Ecology,Responses of the soil decomposer community and decomposition processes to the combined stress of pentachlorophenol and acid precipitation,10.1016/s0929-1393(98)00108-5,Finland,abundance,"pentachlorophenol, H2SO4","Pesticides,Others","Industrial,Others","Nematodes,Enchytraeids,Acari",Woodland,microbes,none,no
54,"Salminen, J. E.; Sulkava, P. O.",1997,Environmental Pollution,Decomposer communities in contaminated soil: Is altered community regulation a proper tool in ecological risk assessment of toxicants?,10.1016/s0269-7491(97)00078-x,Finland,abundance,pentachlorophenol,Pesticides,Industrial,"Nematodes,Enchytraeids,Acari",Woodland,microbes,none,no
