"","authors","Published.Year","journal","title","DOI","Country","DiversityMetric","PollutantName","PollutantType","PollutionSource","TaxaGroupAtlas","System","OtherBiodiversity","EcosystemFunction","Multidrivers","ClimateChange","Nutrient","LandUse","Intensification","Fragmentation.Loss","Invasives"
"1","Norgrove, L.; Csuzdi, C.; Forzi, F.; Canet, M.; Gounes, J.",2009,"Tropical Ecology","Shifts in soil faunal community structure in shaded cacao agroforests and consequences for ecosystem function in Central Africa","","Brazil","abundance","fungicide","Pesticides","Agricultural/livestock","Termites,Earthworms","Cropland","no","none","yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"7","Nahmani, J.; Rossi, J. P.",2003,"Comptes Rendus Biologies","Soil macroinvertebrates as indicators of pollution by heavy metals","10.1016/s1631-0691(03)00070-2","France","richness,shannons,evenness","zinc; lead; cadmium","Metals","Mining","Isopoda,Myriapoda,Earthworms,Coleoptera,Arachnida (spiders and scorpions),Gastropoda (slugs and snails),Larvae,Others","Cropland,Woodland,Grassland","no","none","yes",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"12","Murvanidze, M.; Mumladze, L.; Arabuli, T.; Kvavadze, E.",2013,"Acarologia","ORIBATID MITE COLONIZATION OF SAND AND MANGANESE TAILING SITES","10.1051/acarologia/20132089","Georgia","abundance,richness","manganese","Metals","Mining/Smelting","Acari","Woodland,Grassland,Bare land","no","none","yes",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"14","Miyazawa, K.; Tsuji, H.; Yamagata, M.; Nakano, H.; Nakamoto, T.",2002,"Plant Production Science","The effects of cropping systems and fallow managements on microarthropod populations","10.1626/pps.5.257","Japan","abundance","alachlor, linuron, lenacil, PAC, disulfoton, MEP, PAP, acephate, DEP, profenofos, prothiofos, cyfluthrin, TPN, mancozeb, mepronil, thiophanate-methyl","Pesticides","Agricultural/livestock","Acari,Collembola","Cropland","plants","several","yes",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"16","Minor, M. A.; Volk, T. A.; Norton, R. A.",2004,"Applied Soil Ecology","Effects of site preparation techniques on communities of soil mites (Acari : Oribatida, Acari : Gamasida) under short-rotation forestry plantings in New York, USA","10.1016/j.apsoil.2003.10.002","USA","abundance,richness","glyphosate","Pesticides","Agricultural/livestock","Acari","Woodland","no","none","yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"17","Minor, M. A.; Norton, R. A.",2008,"Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere","Effects of weed and erosion control on communities of soil mites (Oribatida and Gamasina) in short-rotation willow plantings in central New York","10.1139/x07-207","USA","abundance","herbicide: glyphosate, oxyfluorfen, azafenidin, imazaquin-pendimethalin","Pesticides","Agricultural/livestock","Acari","Woodland","no","none","yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"18","Andersen, L.; Kuhn, B. F.; Bertelsen, M.; Bruus, M.; Larsen, S. E.; Strandberg, M.",2013,"Agriculture Ecosystems & Environment","Alternatives to herbicides in an apple orchard, effects on yield, earthworms and plant diversity","10.1016/j.agee.2013.04.004","Denmark","abundance","herbicides: propyzamid, glyphosate","Pesticides","Agricultural/livestock","Earthworms","Woodland","plants","one","yes",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"19","Neher, D. A.; Olson, R. K.",1999,"Pedobiologia","Nematode communities in soils of four farm cropping management systems","","USA","abundance","herbicides, insecticides","Pesticides","Agricultural/livestock","Nematodes","Cropland","microbes","none","yes",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"23","Marwitz, A.; Ladewig, E.; Marlander, B.",2012,"European Journal of Agronomy","Impact of herbicide application intensity in relation to environment and tillage on earthworm population in sugar beet in Germany","10.1016/j.eja.2012.01.005","Germany","abundance,richness,shannons,evenness","herbicides","Pesticides","Agricultural/livestock","Earthworms","Cropland","no","none","yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"27","Sokolowska, L.; Seniczak, S.",2005,"Folia Biologica-Krakow","The effect of cattle liquid manure fertilization on alternating grassland and some groups of soil mesofauna","10.3409/173491605775789407","Poland","abundance,richness,shannons","antibiotics: dicoordinating dimethylamonium chloride, dioxy-12-ethane, glutin dialdehyde, and formaldehyde","Pharmaceuticals","Agricultural/livestock","Nematodes,Enchytraeids,Acari,Collembola","Grassland","no","none","yes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
